SINO KA300/KA500 TTL Linear Encoder Wiring Map,,,,,,,
Source: Sino KA Type Linear Encoder User Manual (TTL 9-pin connector),,,,,,,
Cable: Standard straight-through DB9 (resistor color code: Black=1 Brown=2 Red=3 Orange=4 Yellow=5 Green=6 Blue=7 Gray=8 White=9),,,,,,,
,,,,,,,
SIGNAL MAPPING,,,,,,,
Sino Pin,Signal,DB9 Pin,Wire Color,7i85s TB3 enc0 pin (Z linear),7i85s TB3 enc1 pin (X linear),7i85s TB3 enc2 pin (Z MPG),7i85s TB2 enc3 pin (X MPG)
2,GND (0V),2,Brown,3,11,19,3
6,A (Phase A),6,Green,1 (QA+),9 (QA+),17 (QA+),1 (QA+)
7,+5V,7,Blue,6,14,22,6
8,B (Phase B),8,Gray,4 (QB+),12 (QB+),20 (QB+),4 (QB+)
9,Z (Index),9,White,7 (IDX+),15 (IDX+),23 (IDX+),7 (IDX+)
NC,Not connected,-,Black (pin1),-,-,-,-
NC,Not connected,-,Red (pin3),-,-,-,-
NC,Not connected,-,Orange (pin4),-,-,-,-
NC,Not connected,-,Yellow (pin5),-,-,-,-
NC,Leave unconnected,-,-,"2 (/QA-)","10 (/QA-)","18 (/QA-)","2 (/QA-)"
NC,Leave unconnected,-,-,"5 (/QB-)","13 (/QB-)","21 (/QB-)","5 (/QB-)"
NC,Leave unconnected,-,-,"8 (/IDX-)","16 (/IDX-)","24 (/IDX-)","8 (/IDX-)"
,,,,,,,
7i85s TB3 CHANNEL LAYOUT,,,,,,,
Channel,Device,TB3 Pin Range,QA+,/QA-,GND,QB+,/QB-,+5V,IDX+,/IDX-
enc0,Z Linear Scale,1-8,1,2,3,4,5,6,7,8
enc1,X Linear Scale,9-16,9,10,11,12,13,14,15,16
enc2,Z MPG,17-24,17,18,19,20,21,22,23,24
,,,,,,,
7i85s TB2 CHANNEL LAYOUT,,,,,,,
Channel,Device,TB2 Pin Range,QA+,/QA-,GND,QB+,/QB-,+5V,IDX+,/IDX-
enc3,X MPG,1-8,1,2,3,4,5,6,7,8
,,,,,,,
JUMPER SETTINGS (7i85s — TTL single-ended mode),,,,,,,
Encoder Channel,Jumpers,Required Position,,,,,
enc0 (Z linear),W9 W11 W13,ALL UP (TTL),,,,,
enc1 (X linear),W5 W6 W7,ALL UP (TTL),,,,,
enc2 (Z MPG),W1 W2 W4,ALL UP (TTL),,,,,
enc3 (X MPG),W8 W10 W12,ALL UP (TTL),,,,,
W3 (5V source),W3,UP = use FPGA card 5V,,,,,
